page_number,chunk_id,chunk_text
2,page_2_chunk_5,"growth in advanced economies was -3.7%, by far the lowest annual growth rate since 
the Great Depression. Growth in emerging and developing economies remained posi-
tive but was nearly 4 percentage points lower than the 2000–2007 average.
Since then, thanks to strong monetary and fiscal policies and to the slow repair of the 
financial system, most economies have turned around. As you can see from Table 1-1,

The Great Depression saw 
four years of negative output 
growth from 1929 to 1932. The 
unemployment rate peaked at 
24.9%.



Chapter 1 
A Tour of the World 
5"
3,page_3_chunk_1,"12

Figure 1-2

Unemployment rates in the 
United States and the Euro 
area, 2000–2012

Euro area

10

8

Source: World Economic Outlook 
database, September 2011

Percent

6

4

United States

2

0

2002

2003

2004

2005

2006

2007

2008

2009

2010

2011

2012

2000

2001

growth in both advanced countries and in emerging and developing economies turned 
positive in 2010, and the forecasts are for positive but low growth for 2011 and 2012.
Emerging and developing economies have largely recovered. Their exports have 
increased and foreign funds have returned. Indeed, some of these countries are start-
ing to see increasing inflation, which is an indication that they may be overheating.
In advanced countries, however, many problems remain. As shown in Figure 1-2, 
both in the United"
3,page_3_chunk_2,"is an indication that they may be overheating.
In advanced countries, however, many problems remain. As shown in Figure 1-2, 
both in the United States and the Euro area, unemployment increased a lot in the 
crisis and remains very high. The increase in the unemployment rate in the United 
States is particularly striking, increasing from 4.6% in 2007 to 9.6% in 2010, with fore-
casts implying only a slow decrease in 2011 and 2012. What is behind this persistently 
high unemployment is low output growth, and behind this low growth are many fac-
tors: Housing prices are still declining, and housing investment remains very low. 
Banks are still not in great shape, and bank lending is still tight. Consumers who have 
seen the value of their housing and their financial wealth fall are cutting"
3,page_3_chunk_3,"not in great shape, and bank lending is still tight. Consumers who have 
seen the value of their housing and their financial wealth fall are cutting consump-
tion. And the crisis has led to serious fiscal problems. As output declined during the 
crisis, so did government revenues, leading to a large increase in budget deficits. 
Deficits have led in turn to a large increase in public debt over time. Countries must 
now reduce their deficits, and this is proving difficult. There are serious worries that, 
in some European countries, governments may not be able to adjust and may default 
on their debt. This, in turn, makes economists and policy makers worry that we may 
see yet another financial and economic crisis in the near future.
In short, while the worst of the crisis is probably"
3,page_3_chunk_4,"makers worry that we may 
see yet another financial and economic crisis in the near future.
In short, while the worst of the crisis is probably over, it has left many problems 
in its wake, which will keep macroeconomists and policy makers busy for many years 
to come. We shall return to these issues in more detail at many points in the book. In 
the rest of the chapter, we take a closer look at the three main economic powers of the 
world: the United States, the Euro area, and China.

1-2 The United States

When economists first look at a country, the first two questions they ask are: How 
big is the country, from an economic point of view? And what is its standard of 
living? To answer the first, they look at output—the level of production of the 
country as a whole. To answer the"
3,page_3_chunk_5,"view? And what is its standard of 
living? To answer the first, they look at output—the level of production of the 
country as a whole. To answer the second, they look at output per person. The

6 
Introduction 
The Core"
4,page_4_chunk_1,"Figure 1-3

The United States

The United States, 2010
Output: $14.7 trillion
Population: 308.7 million
Output per person: $47,300
Share of world output: 23%

answers, for the United States, are given in Figure 1-3: The United States is very 
large, with an output of $14.7 trillion in 2010, accounting for 23% of world output. 
This makes it the largest country in the world, in economic terms. And the stand-
ard of living in the United States is very high: Output per person is $47,300. It is 
not the country with the highest output per person in the world, but it is close to 
the top.
When economists want to dig deeper and look at the state of health of the country, 
they look at three basic variables:

Can you guess some of 
the countries with a higher 
 standard of living than the"
4,page_4_chunk_2,"of health of the country, 
they look at three basic variables:

Can you guess some of 
the countries with a higher 
 standard of living than the 
United States? Hint: Think 
of oil producers and financial 
centers. For the answers, go 
to www.imf.org/external/pubs/
ft/weo/2011/01/weodata/weo-
selgr.aspx and look for “Gross 
Domestic Product per capita, in 
current prices.”



■ 
Output growth—the rate of change of output
■ 
The unemployment rate—the proportion of workers in the economy who are not 
employed and are looking for a job
■ 
The inflation rate—the rate at which the average price of the goods in the economy 
is increasing over time

Numbers for the three variables for the U.S. economy are given in Table 1-2. To put 
current numbers in perspective, the first column gives the"
4,page_4_chunk_3,"time

Numbers for the three variables for the U.S. economy are given in Table 1-2. To put 
current numbers in perspective, the first column gives the average value of the rate 
of growth of output, the unemployment rate, and the inflation rate in the United 
States for the period 1980 to 1999. The next columns look at the more recent years, 
giving you first average numbers for the period 2000 to 2007, and then numbers for 
each year from 2008 to 2012. The numbers for 2011 and 2012 are forecasts as of the 
fall of 2011.
By looking at the first two columns, you can see why, in 2007, just before the cri-
sis, economists felt good about the U.S. economy. The rate of growth of the economy 
since 2000 was 2.6%, admittedly a bit lower than the previous 20-year average, but 
still fairly high"
4,page_4_chunk_4,"economy. The rate of growth of the economy 
since 2000 was 2.6%, admittedly a bit lower than the previous 20-year average, but 
still fairly high for an advanced country. Importantly, the average unemployment 
rate since 2000 was 5.0%, substantially lower than in the previous 20 years. And infla-
tion was low, 2.8% on average since 2000, again substantially lower than it had been 
in the past.

Chapter 1 
A Tour of the World 
7"
5,page_5_chunk_1,"Table 1-2 Growth, Unemployment, and Inflation in the United States, 1980–2012

Percent
1980–1999 
(average)
2000–2007 
(average)
2008
2009
2010
2011
2012

Output growth rate
3.0
2.6
0.0
−3.5
3.0
1.5
1.8

Unemployment rate
6.5
5.0
5.8
9.3
9.6
9.1
9.0

Inflation rate
4.2
2.8
3.8
−0.3
1.7
2.9
1.2

Output growth rate: annual rate of growth of output (GDP). Unemployment rate: average over the year. Inflation rate: 
annual rate of change of the price level (GDP deflator).

Source: World Economic Outlook database, September 2011

Then the crisis came, and you can see it in the numbers from 2008 onward. Output 
did not grow in 2008 and declined by 3.5% in 2009. Unemployment increased dramati-
cally, to nearly 10%. Inflation declined, being slightly negative in 2009 and then staying 
positive but"
5,page_5_chunk_2,"in 2009. Unemployment increased dramati-
cally, to nearly 10%. Inflation declined, being slightly negative in 2009 and then staying 
positive but low since then. The economy rebounded in 2010, with growth of 3%. Since 
then, however, growth has decreased again, becoming so weak that unemployment is 
forecast to remain high for a long time to come. Inflation is forecast to remain low.
Apart from high unemployment, perhaps the most serious macroeconomic prob-
lem facing the United States is its very large budget deficit. We now turn to it, and to 
some of its implications.

Should You Worry about the United States Deficit?

Figure 1-4 shows the evolution of the U.S. federal budget surplus (a negative value 
represents a deficit) since 1990. You can see that after an increase in deficits due"
5,page_5_chunk_3,"evolution of the U.S. federal budget surplus (a negative value 
represents a deficit) since 1990. You can see that after an increase in deficits due 
to the 1990–1991 recession, the rest of the decade was associated with a steady 
improvement and by 1998, the budget had actually gone from deficit to surplus. The 
main reasons for the steady improvement were twofold. First, strong output growth

4

Figure 1-4

U.S. Federal Budget 
surpluses as a percent of 
GDP since 1990

2

0

Source: Table B-79 Economic 
 Report of the President 2010. 
Values for 2011 and 2012 are 
estimates.

–2

Percent

–4

–6

–8

–10

–12

1990
1992
1994
1996
1998
2000
2002
2004
2006
2008
2010

8 
Introduction 
The Core"
6,page_6_chunk_1,"for most of the decade led to strong growth of government revenues. Second, rules 
were devised and implemented to contain government spending, from the use of 
spending caps on some categories of spending to the requirement that any new 
spending program be associated with an equal increase in revenues. Once budget 
surpluses appeared, however, Congress became increasingly willing to break its 
own rules and allow for more spending. At the same time, the Bush administra-
tion convinced Congress to cut taxes, with the stated intent of spurring growth. The 
result was a return to budget deficits. On the eve of the crisis, in 2007, the deficit 
was equal to 1.7% of GDP, not very large but still a deficit. The crisis had a dramatic 
effect on the deficit, which increased to 9% of GDP in 2010"
6,page_6_chunk_2,"was equal to 1.7% of GDP, not very large but still a deficit. The crisis had a dramatic 
effect on the deficit, which increased to 9% of GDP in 2010 and appears likely to be 
even higher in 2011. The factors behind the increase are straightforward. Lower 
output has led to lower government revenues. Federal revenues, which were equal 
to 18.9% of GDP in 2007, had declined to 16.2% of GDP in 2010. Federal spending, 
which was equal to 20.6% in 2007, had increased to 25.3% in 2010. This reflects not 
only an increase in transfers, such as higher unemployment benefits, but a more 
general increase in spending across the board as the government tried to counter-
act the decrease in private demand through an increase in public spending.
You may conclude that, as output recovers further and"
6,page_6_chunk_3,"tried to counter-
act the decrease in private demand through an increase in public spending.
You may conclude that, as output recovers further and unemployment de-
creases, revenues will increase and some of the spending will be phased out. This is 
indeed likely to be the case, and forecasts are for a reduction in the deficit to around 
5% by the middle of the decade. A 5% deficit, however, is still too a large number 
and creates a steadily increasing debt. Budget forecasts for the more distant future 
are even gloomier. The U.S. population is getting older, and Social Security benefits 
will increase substantially in the future. And, even more importantly, health expen-
ditures are growing very fast and, with them, spending in government programs 
such as Medicare and Medicaid. So"
6,page_6_chunk_4,"even more importantly, health expen-
ditures are growing very fast and, with them, spending in government programs 
such as Medicare and Medicaid. So there is wide agreement that the budget deficit 
must be reduced further. But there is disagreement as to both when and how.

■ 
Some economists argue that deficit reduction should start now and proceed rapidly. 
They argue that the credibility of the U.S. government is at stake, and that only a strong 
reduction will convince people that the government will do what is needed to stabi-
lize the debt. Other economists argue, however, that too fast a reduction in the deficit 
would be dangerous. A reduction in the deficit can be achieved by a combination of 
an increase in taxes and a decrease in spending. Either one, they argue, will decrease"
6,page_6_chunk_5,"reduction in the deficit can be achieved by a combination of 
an increase in taxes and a decrease in spending. Either one, they argue, will decrease 
demand and slow down growth at a time when unemployment is still very high. Their 
recommendation is thus to reduce the deficit, but to do it slowly and steadily.
■ 
Even if there is agreement on the need for deficit reduction, there is much less 
agreement on how it should be achieved. The disagreement is along political lines. 
Republicans believe that it should be done primarily through decreases in spend-
ing. They suggest the elimination of a number of government programs and caps 
on such programs as Medicare. Democrats believe that most existing programs are 
justified, and they are more inclined to want to do the adjustment through"
6,page_6_chunk_6,"programs as Medicare. Democrats believe that most existing programs are 
justified, and they are more inclined to want to do the adjustment through an in-
crease in taxes. The worry, at this juncture, is that these positions are hard to rec-
oncile, and that, as a result, large deficits may continue for a long time to come.

1-3 The Euro Area

In 1957, six European countries decided to form a common European market—an eco-
nomic zone where people and goods could move freely. Since then, 21 more countries 
have joined, bringing the total to 27. This group is now known as the European Union, 
or EU for short.

Until a few years ago, the  official 
name was the European Com-
munity, or EC. You may still en-
counter that name.


Chapter 1 
A Tour of the World 
9"
7,page_7_chunk_1,"In 1999, the European Union decided to go one step further and started the proc-
ess of replacing national currencies with one common currency, called the Euro. 
Only eleven countries participated at the start; since then, six more have joined. 
Some countries, in particular the United Kingdom, have decided not to join, at least 
for the time being. The official name for the group of member countries is the Euro 
area. The transition took place in steps. On January 1, 1999, each of the 11 coun-
tries fixed the value of its currency to the Euro. For example, 1 Euro was set equal to 
6.56 French francs, to 166 Spanish pesetas, and so on. From 1999 to 2002, prices were 
quoted both in national currency units and in Euros, but the Euro was not yet used as 
currency. This happened in 2002,"
7,page_7_chunk_2,"1999 to 2002, prices were 
quoted both in national currency units and in Euros, but the Euro was not yet used as 
currency. This happened in 2002, when Euro notes and coins replaced national cur-
rencies. Seventeen countries now belong to this common currency area.
As you can see from Figure 1-5, the Euro area is a strong economic power. 
Its output is nearly equal to that of the United States, and its standard of living is 
not far behind. (The European Union as a whole has an output that exceeds that 
of  the United States.) As the numbers in Table 1-3 show, however, it is not doing 
very well.
Look at the first two columns of Table 1-3. Even during the pre-crisis period, from 
2000 to 2007, the Euro area was not doing very well compared to the United States. Out-
put growth was lower"
7,page_7_chunk_3,"Even during the pre-crisis period, from 
2000 to 2007, the Euro area was not doing very well compared to the United States. Out-
put growth was lower than in the United States over the same period. Unemployment 
was substantially higher than in the United States. Admittedly, inflation was lower than 
in the United States and fell over the decade after 2000. The overall picture was of a 
slowly growing economy with high unemployment. Not surprisingly, the crisis made 
things worse. Growth was negative in 2009, and while it has turned positive, the fore-
casts for 2011 and 2012 are of very low growth. Unemployment has increased to 10% 
and, because of low growth, is forecast to decrease only slowly. The Euro area faces 
two main issues today. First (and this is a problem it shares with the"
7,page_7_chunk_4,"of low growth, is forecast to decrease only slowly. The Euro area faces 
two main issues today. First (and this is a problem it shares with the rest of Europe) 
is how to reduce unemployment. Second is how to function efficiently as a common 
 currency area. We consider these two issues in turn.

The area also goes by the 
names of “Euro zone” or 
 “Euroland.” The first sounds 
too technocratic, and the 
 second reminds one of Dis-
neyland. We shall avoid them.



The Euro area has existed only 
since 1999 and membership 
has increased; numbers for 
1980 to 1999 are constructed 
by adding national numbers 
for each of the 17 current 
member countries.



How Can European Unemployment Be Reduced?

The increase in European unemployment since 2007 is primarily due to the crisis, and 
it is"
7,page_7_chunk_5,"countries.



How Can European Unemployment Be Reduced?

The increase in European unemployment since 2007 is primarily due to the crisis, and 
it is reasonable to expect that the unemployment rate will eventually return to its pre-
crisis level. But this pre-crisis level was already high, 8.5% for the Euro area over the 
period 2000–2007. Why is this? Despite a large amount of research, there is still no full 
agreement on the answers.
Some politicians blame macroeconomic policy. They argue that the monetary 
policy followed by the European Central Bank has kept interest rates too high, lead-
ing to low demand and high unemployment. According to them, the central bank 
should decrease interest rates and allow for an increase in demand, and unemploy-
ment would decrease.

Table 1-3"
7,page_7_chunk_6,"to them, the central bank 
should decrease interest rates and allow for an increase in demand, and unemploy-
ment would decrease.

Table 1-3   Growth, Unemployment, and Inflation in the Euro Area, 1980–2012

Percent
1980–1999 
(average)
2000–2007 
(average)
2008
2009
2010
2011
2012

Output growth rate
2.2
2.2
0.4
−4.2
1.8
1.6
1.1

Unemployment rate
9.6
8.5
7.6
9.5
10.1
9.9
9.9

Inflation rate
5.2
2.3
3.2
0.3
1.6
2.5
1.5

Source: World Economic Outlook database, September 2011

10 
Introduction 
The Core"
8,page_8_chunk_1,"Euro area, 2010
Output:  $12.2 trillion
Population: 331.3 million
Output per person: $36,800
Share of world output: 19.6%

EU17:

2010
Output
($ trillions)
Population
(millions)
Output
per Person

France
Germany
Italy
Spain

2.5
3.3
2.0
1.4

62.0
81.0
60.0
46.0

$41,000
$40,600
$34,058
$30,600

Finland

Estonia

The 
Netherlands

Ireland

Belgium

Germany

Luxembourg

Slovakia

Austria

France

Italy

Spain

Greece

Portugal

Slovenia

Malta
Cyprus

Figure 1-5

The Euro area

Chapter 1 
A Tour of the World 
11"
9,page_9_chunk_1,"Most economists believe, however, that the source of the problem is not macroeco-
nomic policy, but labor market institutions. Too tight a monetary policy, they concede, 
can indeed lead to high unemployment for some time, but surely not for 20 years. The 
fact that unemployment has been so high for so long points to problems in the labor 
market. The challenge is then to identify exactly what these problems are.
Some economists believe the main problem is that European states protect workers 
too much. To prevent workers from losing their jobs, they make it expensive for firms to lay 
off workers. One of the unintended results of this policy is to deter firms from hiring work-
ers in the first place, and this increases unemployment. To protect workers who  become 
unemployed, European"
9,page_9_chunk_2,"is to deter firms from hiring work-
ers in the first place, and this increases unemployment. To protect workers who  become 
unemployed, European governments provide generous unemployment insurance. But, 
by doing so, they decrease the incentives for the unemployed to look for jobs; this also 
 increases unemployment. The solution, they argue, is to be less protective, to eliminate 
these labor market rigidities, and to adopt U.S.-style labor-market institutions. This is what 
the United Kingdom has largely done, and, until the crisis, its unemployment rate was low.
Others are more skeptical. They point to the fact that, before the crisis, unemploy-
ment was not high everywhere in Europe. It was low in a number of smaller countries—for 
example, the Netherlands or Denmark, where the"
9,page_9_chunk_3,"unemploy-
ment was not high everywhere in Europe. It was low in a number of smaller countries—for 
example, the Netherlands or Denmark, where the unemployment rate was under 4%. Yet 
these countries are very different from the United States and provide generous social in-
surance to workers. This suggests that the problem may lie not so much with the degree of 
protection but with the way it is implemented. The challenge, these economists argue, is to 
understand what the Netherlands or Denmark have done right. Resolving these questions 
is one of the major tasks facing European macroeconomists and policy makers today.

What Has the Euro Done for Its Members?

Supporters of the euro point first to its enormous symbolic importance. In light of the 
many past wars among European countries,"
9,page_9_chunk_4,"for Its Members?

Supporters of the euro point first to its enormous symbolic importance. In light of the 
many past wars among European countries, what better proof of the permanent end to 
military conflict than the adoption of a common currency? They also point to the eco-
nomic advantages of having a common currency: no more changes in the relative price 
of currencies for European firms to worry about, no more need to change currencies 
when crossing borders. Together with the removal of other obstacles to trade among 
European countries, the euro contributes, they argue, to the creation of a large eco-
nomic power in the world. There is little question that the move to the euro was indeed 
one of the main economic events of the start of the twenty-first century.
Others worry,"
9,page_9_chunk_5,"is little question that the move to the euro was indeed 
one of the main economic events of the start of the twenty-first century.
Others worry, however, that the symbolism of the euro may come with substantial 
economic costs. They point out that a common currency means a common monetary 
policy, which means the same interest rate across the euro countries. What if, they ar-
gue, one country plunges into recession while another is in the middle of an economic 
boom? The first country needs lower interest rates to increase spending and output; 
the second country needs higher interest rates to slow down its economy. If interest 
rates have to be the same in both countries, what will happen? Isn’t there the risk that 
one country will remain in recession for a long time or that the other"
9,page_9_chunk_6,"to be the same in both countries, what will happen? Isn’t there the risk that 
one country will remain in recession for a long time or that the other will not be able to 
slow down its booming economy?
Until recently, the debate was somewhat abstract. It no longer is. A number of euro 
members, from Ireland, to Portugal, to Greece, are going through deep recessions. If 
they had their own currency, they likely would have decreased their interest rate or de-
preciated their currency vis à vis other euro members to increase the demand for their 
exports. Because they share a currency with their neighbors, this is not possible. Thus, 
some economists argue that they should drop out of the euro. Others argue that such 
an exit would be both unwise, as it would give up on the other advantages"
9,page_9_chunk_7,"argue that they should drop out of the euro. Others argue that such 
an exit would be both unwise, as it would give up on the other advantages of being in 
the euro, and extremely disruptive, leading to even deeper problems for the country 
that has exited. This issue is likely to remain a hot one for some time to come.

12 
Introduction 
The Core"
10,page_10_chunk_1,"1-4 China

China is in the news every day. It is increasingly seen as one of the major economic 
powers in the world. Is the attention justified? A first look at the numbers in Figure 1-6 
suggests it may not be. True, the population of China is enormous, more than four times 
that of the United States. But its output, expressed in dollars by multiplying the number 
in yuans (the Chinese currency) by the dollar–yuan exchange rate, is only 5.8 trillion 
dollars, less than half that of the United States. Output per person is only $4,300, roughly 
one-tenth of output per person in the United States.
So why is so much attention paid to China? There are two reasons. To understand 
the first, we need to go back to the number for output per person. When compar-
ing output per person in a rich"
10,page_10_chunk_2,"There are two reasons. To understand 
the first, we need to go back to the number for output per person. When compar-
ing output per person in a rich country like the United States and a relatively poor 
country like China, one must be careful. The reason is that many goods are cheaper 
in poor countries. For example, the price of an average restaurant meal in New York 
City is about 20 dollars; the price of an average restaurant meal in Beijing is about 25 
yuans, or, at the current exchange rate, about 4 dollars. Put another way, the same 
income (expressed in dollars) buys you much more in Beijing than in New York City. 
If we want to compare standards of living, we have to correct for these differences; 
measures which do so are called PPP (for purchasing power parity) measures. Using"
10,page_10_chunk_3,"standards of living, we have to correct for these differences; 
measures which do so are called PPP (for purchasing power parity) measures. Using 
such a measure, output per person in China is estimated to be about $7,500, roughly 
one-sixth of the output per person in the United States. This gives a more accurate 
picture of the standard of living in China. It is obviously still much lower than that of 
the United States or other rich countries. But it is higher than suggested by the num-
bers in Figure 1-6.
Second, and more importantly, China has been growing rapidly for more than 
three decades. This is shown in Table 1-4, which gives output growth, unemployment, 
and inflation for the periods 1980–1999, 2000–2007, and each of the years 2008 to 2012. 
The numbers for 2011 and 2012 are"
10,page_10_chunk_4,"growth, unemployment, 
and inflation for the periods 1980–1999, 2000–2007, and each of the years 2008 to 2012. 
The numbers for 2011 and 2012 are forecasts as of the fall of 2011.
Look at the first two columns of Table 1-4. The most impressive numbers are those 
for output growth. Since 1980, China’s output has grown at roughly 10% a year. This

The issue is less important 
when comparing two rich 
countries. Thus, this was not 
a major issue when compar-
ing standards of living in the 
United States and the euro 
area earlier.



Figure 1-6

China
China, 2010
Output: $5.8 trillion
Population: 1,340 million
Output per person: $4,300
Share of world output: 9.3%

Chapter 1 
A Tour of the World 
13"
11,page_11_chunk_1,"Table 1-4 Growth and Inflation in China, 1980–2012

Percent
1980–1999 
(average)
2000–2007 
(average)
2008
2009
2010
2011
2012

Output growth rate
9.8
10.5
9.6
9.2
10.3
9.5
9.0

Unemployment rate
2.7
3.9
4.2
4.3
4.1
4.0
4.0

Inflation rate
8.1
1.6
5.9
−0.6
3.3
5.5
3.3

Output growth rate: annual rate of growth of output (GDP). Inflation rate: annual rate of change of the price level (GDP 
deflator).

Source: World Economic Outlook database, September 2011

represents a doubling of output every seven years. Compare this number to the num-
bers for the United States and for Europe we saw earlier, and you understand why the 
importance of the emerging economies in the world economy, China being the main 
one, is increasing so rapidly. Turn to unemployment. Numbers for unemployment are"
11,page_11_chunk_2,"the emerging economies in the world economy, China being the main 
one, is increasing so rapidly. Turn to unemployment. Numbers for unemployment are 
typically less reliable in poorer countries, so you should take those numbers with a 
grain of salt: Many workers stay in the countryside rather than being unemployed in 
the cities. Nevertheless, the numbers suggest consistently low unemployment. And in-
flation, which was high before 2000, is now relatively low.
Another striking aspect of Table 1-4 is how difficult it is to see the effects of the cri-
sis in the data. Growth has barely decreased, and unemployment has barely increased 
since 2007. The reason is not that China is closed to the rest of the world. Chinese exports 
slowed during the crisis. But the adverse effect on demand was"
11,page_11_chunk_3,"The reason is not that China is closed to the rest of the world. Chinese exports 
slowed during the crisis. But the adverse effect on demand was nearly fully offset by a 
major fiscal expansion by the Chinese government, with, in particular, a major increase 
in public investment. The result was sustained growth of demand and, in turn, of output.
This sustained growth performance raises obvious questions. The first is whether 
the numbers are for real. Could it be that growth has been overstated? After all, China 
is still officially a communist country, and government officials may have incentives to 
overstate the economic performance of their sector or their province. Economists who 
have looked at this carefully conclude that this is probably not the case. The statistics 
are not as"
11,page_11_chunk_4,"their sector or their province. Economists who 
have looked at this carefully conclude that this is probably not the case. The statistics 
are not as reliable as they are in richer countries, but there is no obvious bias. Output 
growth is indeed very high in China.
So where does the growth come from? It clearly comes from two sources:

■ 
The first is high accumulation of capital. The investment rate (the ratio of invest-
ment to output) in China exceeds 40% of output, a high number. For comparison, 
the investment rate in the United States is only 17%. More capital means higher 
productivity and higher output.
■ 
The second is rapid technological progress. One of the strategies followed by the 
Chinese government has been to encourage foreign firms to relocate and produce 
in China. As"
11,page_11_chunk_5,"progress. One of the strategies followed by the 
Chinese government has been to encourage foreign firms to relocate and produce 
in China. As foreign firms are typically much more productive than Chinese firms, 
this has increased productivity and output. Another aspect of the strategy has been 
to encourage joint ventures between foreign and Chinese firms. By making Chi-
nese firms work with and learn from foreign firms, the productivity of the Chinese 
firms has increased dramatically.

When described in this way, achieving high productivity and high output growth 
appears easy, a recipe that every poor country could and should follow. In fact, things 
are less obvious. China is one of a number of countries that made the transition from 
central planning to a market economy. Most of the"
